comment,rate
خوبه من راضی هستم فقط ویندوز نداره که من ویندوز ۱۱ نصب کردم موس و وای فای از کار افتاد که با آپدیت ویندوز بعد از نصب همه درایور ها نصب شد,5
خیلی بهتر از لب تاب استوکی که همین قیمتها میخواستم بخرم هست,5
"برای کار های روزمره و وبگردی و آفیس بسیار عالی اما اگر به چشم بازی می&amp;zwnj;خواین نگاه کنین سمتش نیاین اصلا چون بدرد بازی نمیخوره تو این رنج قیمت بهترین چیزی که میتونین بخرین همینه 
یک نکته درایو هاش و حتما از سایت اصلی دانلود کنید
ممنون از دیجیکالا که به موقع و بسته بندی خیلی خوبی ارسال کردن",5
عالی🙏,5
"تا فعالیت های نیمه حرفه ای براحتی توان داره 
با این قیمت عالیه ",5
بسیار راضی هستیم ممنون از دیجی کالا ,4
خرید قسطی فراهم کنید بتونیم خرید کنیم,2
"حتما باید ویندوز 11 روش نصب بشه 
سرعت خوبی نداره اصلا به این قیمت ارزش خرید نداره ولی تو این رنج همه مدل ها رو چک کردم فرقی با هم ندارن 
به نظرم اگه بتونید CPU H یاCPU HQ حتی نسل پایین تر بگیرید خیلی بهتر از این سری u هست یکم فشار بیارید cpu کم میاره
افتضاحه.  پشتیبانی  دیجیکالا  خیلی ضعیفه ترب گزینه بهتری میتونه باشه من به اجبار خرید کردم",1
من این کالا رو خریدم ولی هنگ میکرد هزینه کردم درست بشه هم نشد چند بارم تماس گرفتم ولی موفق نشدم و انتظار نداشتم اینقد بی کیفیت باشه,1
نسبت به قیمت لب تاپ خوبیه,5
خوب بود,5
طراحی زیبا و قابل قبول ,3
ممنون دیجی کالا,5
منم دلم میخواد از اینا داشته باشم,0
به موقع و صحیح و سالم به دستم رسید. گارانتی به نظر اوکی میاد. به نسبت قیمت ارزنده است و سخت افزار به روزی داره.,4
۴ دستگاه  خریدم  راضیم .سرعت خوب و کاستوم نشده بودن از خصوصیات مهمه این لپتاپه,5
من یکساله خریدم و خوب بوده بدیش فقط بدنه ی ضعیفشه و محکم نیست,0
عالی من از بیرون خریدم واقعا راضی بودم به شما هم پیشنهاد میکنم بخرید با تشکر از زحمات دیجی کالا,5
بسیار راضی,5
بهترین چیزی که میتونستم گرفتم مناسب شغلم,5
لپتاپ خوبیه نسبت ب قیمتش، من راضیم از خریدش، برای کارای عادی روزانه ازش استفاده میکنم ,5
خوبه,5
"دوست دارم یه تجربه خرید بد رو باهاتون به اشتراک بزارم
طولانیه خلاصه بگم
۱- علیرغم اینکه نوشته تسهیلات 23 درصده موقع درخواست میگه که برای دریافت تسهیلات باید اشتراک بخری که با توجه به مبلغ وام مبلغ اشتراک متفاوته و نرخ بهره رو به حدود 50 درصد میرسونه
۲- بعد از پرداخت هزینه اشتراک یه هو بهم گفت 72 ساعت تائید مدارکت طول میکشه. خب ... قبلش بگو چرا قبلش نمیگی؟
۳- دیجی کالا دریافت تسهیلات رو برای آپشن های اضافه محصول مثل بیمه غیر فعال کرده
خب ... قبلش بگو چرا قبلش نمیگی؟
 ۴- دیجی کالا دریافت تسهیلات رو برای دریافت روز دیجی پلاس غیر فعال کرده
خب ... قبلش بگو چرا قبلش نمیگی؟
۵- تماس هم میگیری میگه همینه که هست. پشتیبانی دیجیکالا میگه به دیجی پی زنگ بزن دیجی پی میگه به دیجی کالا زنگ بزن
اطلاعات کافی رو از اول در اختیارتون نمیزارن (تقریبا تا آخر هم چیزی نمیگن) وقتی تو چاله بیفتی فقط میفهمی
به طور خلاصه اگه مجبور نیستین وام دیجی پی نگیرین",3
"هیچ سیستم و ویندوزی روش نصب  نیست
بنظر خوب هست

",5
بسیار بسیار خوش فرم و سبک، عالی برای کار های روزمره,5
سلام خوبی,0
از خریدم راضی هستم .نصبت به قیمت و کارایی خیلی خوبه,5
برای کارای سبک خوبه,5
"عالی، لب تاپ بسیار خوبی است.
۱. هیچ سیستم عاملی ندارد ولی ویندوز ۱۱ براحتی نصب شد.
۲. کلیه درایور ها با اولین آپدیت ویندوز نصب شدند
۳. کیفیت ساخت خیلی خوبی دارد
۴. جای انگشت و لک را نشان نمی دهد
۵. سبک است
۶. به قیمتش می ارزد
۷. دوربینش خوب است و کاور پوشاننده دارد 
۸. یک فیش USB تایپ C دارد که برای گوشی های حدید که کابل شارژشان دو سر تایپ سی است خیلی کار راه بیانداز است
۸. کیفیت بلندگو ها در حد لبتاپ خوب است
۹. سرعت دستگاه عالی است
۱۰. ارتقای هارد و رم خیلی ساده نیست و نیاز به باز کردن دستگاه دارد",5
"مدل درست ideapad slim 3i نسل 8 هست.
پلمپ خود لنوو بود، فوم داخل جعبه برای محافظت حین حمل و نقل عالیه.
لپ تاپ بسیار سبک باریک و زیبا و خوش ساخته. قسمت بالایی براق پایینی ماته.
شارژ سریع عالی داره اما میتونید غیر فعال کنید.
کیفیت صفحه کار راه بندازه و روشناییش خوبه.
سرعت کلی خیلی خوبه خصوصا اس اس دی نسل 4 هست.
کیبوردش میانه هاش کمی شل و وله فشار بدی بازی میکنه قاب بین دکمه ها.
برای استفاده حداکثری از امکانات و قابلیت ها و دسترسی به تنظیمات باتری، سلامت باتری و کنترل خیلی چیزای دیگه باید برنامه lenovo vantage رو از اپ استور مایکروسافت نصب کرد تا تمام گزینه ها فعال بشه .
اس اس دی QLC هست.
تک تک درایورهای سایت سازنده رو هم هم نصب کنید چون درایورهای ویندوز اختصاصی نیست و عملکرد و کارایی خوبی نمیده. همچنین با نصب برنامه اختصاصی لنوو می توانید درایورهارو آپدیت کنید. 
آپدیت جدید بایوس رو هم از سایت لنوو بگیرید بریزید حتما.
صفحه نمایش tn برای تماشای فیلم و ویدئو غیر قابل تحمله و باید دقیقا از یه زاویه مشخص نگاه کنی و 5 سانت سرتو جابجا کنی تصویر بد میشه.
اصلا به درد فیلم و ویدئو نمیخوره.",3
خیلی خاص از هر نظر عالی بود ,5
"همون طوری که انتظار داشتم و بقیه دوستان گفته بودن ، توی پک اصلی و بسته بندی عالی به دستم رسید . 
از فروشگاه آی تی صنف و دیجی کالا ممنونم
یه نکته که دوستان گفتن و کمک خوبی بود به من
و منم تکرار میکنم
 حتما برای نصب ویندوز فلشو رو باید به حالت gtp در بیارید
که میتونید واسه راحتی کار از برنامه Rufus استفاده کنید",5
سلام لطفا موجود کنید دوباره . خریدارم,0
لپ تاپ خوبی است نسبت به قیمتش و کارایی که ازش انتظار دارم,4
"عملکرد خوبی داره
رم ddr5 داره
برای کار معمولی خوبه
هارد mm2 میخوره ولی جای دو تا جا نداره و باید عوض بشه
سی پی یو قابل قبول و سرعت بالا داره
ویندوز ۱۱ راحت روش نصب شد البته باید قلقش رو بلد باشی
کیبورد فارسی نداره و باید برچسبش رو بخری",5
بسیار زیبا و سبکه  نسبت به قیمتش کیفیت خوبی داره,5
نسبت به قیمت عالیه,5
بد نیست ,3
"اول انتقاد میکنم و بعد مفصل راجع به کالا میگم.
از دیجی ناراحتم، کالا یک هفته در مرکز توزیع شهرم بود، هر چه از پیک درخواست کردم، کالا رو پیدا نمی‌کرد که بیاره! بارها تماس گرفتم و استرس داشتم که بالاخره تحویل میدن یا نه!
حالا در مورد کالا: اول که میخواستم سفارش یزنم، دو دل بودم زیرا قیمت دیجی کالا از مغازه های شهرم، ۱.۵ م.ت بالاتر بود اما بعد که دستم رسید خیلی خوشحال شدم، چون اکثر کالاهای فروشگاههای سطح شهر، باز شده و با صفحه کلید فارسی است و یا مونتاژیه، اما این کالا کاملا وارداتی و اصل و کاملا پلمپ هست.از ای تی متاکو گرفتم .
از نظر فنی این لپ تاپ، بهترین و به صرفه ترین لپ تاپ میان رده برای کارهای اداری، برنامه نویسی، بازیهای سبک و وبگردی می باشد. Corei3 نسل ۱۳ تقریبا همتراز corei5 نسل ۹ و ۱۰ و corei7 نسل ۷ می باشد که از نظر قیمتی خرید این لپ تاپ خیلی به صرفه تره
رم این سیستم تقریبا همرده با ram12GDDR4 و یا ram16DDR3 هست.
رنگ بدنه خاکستری فیلی خیلی خوشرنگیه.
معایب: خیلی نازکه،بدنه ضعیفه و خیلی آسیب پذیر و ضربه پذیره
کف اش خیلی به زمین میچسبه و حتما همزمان با خرید، واسش کولپد بخرید.
مانیتورش، رنگهای غیر شفاف و کمرنگ داره و جلوه ندارن رنگهاش.
حافظه داخلی اش کمه و باید هارد اکسترنال تهیه کنید.
هم چنین گفته بودن گارانتی ۱۸ ماهه داره ، من ۲۳ آذر خرید کردم اما شروع گارانتی کالایی که بمن تحویل شد، ۲۸ آبان هست!!! یعنی عملا یکماه کمتر گارانتی میشه!!!
نصب ویندوزش راحته، درایورهاش راحت نصب میشه.
برای نصب ویندوز باید حتما فلش بوتیبل و در فرمت gtp باشه وگرنه ارور میده.
کلا بهترین لپ تاپ میان رده ی بازار و عالیه.",4
به نظر من توی این رنج قیمت واقعاً عالی هستش,5
"در رنج ارزان بسیار عالی هست...برای دانشجو ها و برنامه نویسی و کارهای مرورگری عالی هست. سرعت بسیار بالایی دارد...نسل 13 رم LPDDR5 
عالیه",5
جدا لبتاب خوبیه، من که با این قیمت راضی ام,5
برای مصارف روزمره و وبگردی گرفتم سبک وزن و کیفیت ساخت عالی در یک کلام در خریدش شک نکنید,5
"لپ تاپ خوبیه فقط واسه صفحه نمایش باید کالیبره کنید که صفحه نمایش رنگش بکم بهتر شه تو گوگل سرچ کنید میاره کالیبره کردن صفحه نمایش واسه بقیه برنامه ها اوکیه مخصوصا اونایی که برنامه نویسی طراحی سایت انجام میدن
 واس گیمم بخوام بگم فیفا 19 فیفا 21 اینارو میاره csgo ام میاره چیز دیگه ای امتحان نکردم",4
همه چیز خوب,5
خوبه بد نیست کیفیتش بد نیست راضیم ,5
لپ تاپ خراب فرستاده بودن مرجوع کردم.,1
شیک و زیبا متناسب با وجه پرداختی،ویندوز ۱۱ نصب شد و بسته بندی خیلی خوبی داشت🙏🙏,5
بسیار باریک و کم وزن ، رنگ زیبای خاکستری براق ، صفحه کلید با طراحی جذاب ، کانفیگ حرفه ای تر نسبت به محصولات رقبا و همچنین از لحاظ قیمت.,5
عالی بود,5
"سلااام چن روزه رسیده به دستم عالیه سرعتش خیلی خوب 
ممنونم از دیجی کالا",5
باطری لپ تاپ مشکل داشت  و لپ تاپ هنگ میکرد . مرجوع کردم ولی دستگاه رو بدون خبر برگردوندن و مرجوعی رو قبول نکردن . نخرید که ،ضرر میکنین . نمره 1 هم زیادشه .,1
"بسته بندی مناسب.
تحویل به موقع",5
عالی بود ,5
چرا این دستگاه تو بلک فرایدی تخفیف نمیخوره منتظریم 🫠,0
درخواست مرجوعی محصول رو دارم هارد دستگاه مشکل داره,1
عالی، کیفیت صفحه نمایش بالا ,5
"پنج روزه به دستم رسیده و راضیم ازش 
برای کارای حسابداری خریدم 
فقط یخورده اسپیکرش ضعیفه ک اونم اذیت کننده نیست ",5
بسیار ظریف و زیبا خوش دست. سی پی یو عالی رم کافی صفحه نمایش خوب,5
"ویندوز راحت نصب شد عالیه. ظاهرش که شیک هست
بسته بندی هم عالی هست. سرعت عالیه",5
خوب بود,4
هنوز استفاده نکردم ولی بسته بندیش خوب بود دستگاه هم سالم و به موقع تحویل شد,5
"در محدوده قیمتیش لب تاپ خوبیه و کار راه انداز
طبیعیه ضعف هایی برای کارهای سنگین داشته باشه ولی در مجموع برای کاربری روزمره گزینه مناسبی هست",5
"با این قیمت بد نیس
کار راه اندازه و میشه خیلی از کارای روزمره رو باهاش انجام داد",5
به نظر من در قیمت خودش بهترین انتخابه . بدون هیچ مشکلی ویندوز ۱۱ روش نصب شد. درایور ها هم از سایتش دانلود و نصب کردم. کیفیت صفحه نمایش هم قابل قبوله. ,5
خیلی خوب بود الی,5
"نسبت به هم رده‌های قیمتیش خیلی خوبه.

مشکل تاچ پد رو هم باید برید تو تنظیمات فعال کنید",5
لبتاب خوبیه هیچ مشکلی نداره,5
نسبت به قیمتش از نظر من گرونه اما خوب نمیشه کاریش کرد همه چی به دلار بستگی داره.برای روزمره و کارای سبک و حسابداری مناسبه فقط باید هارد اکسترنال بخری کنارش,4
بی نظیرترین لبتاب تو این رنج,5
دو روزه به دستم رسیده ، همه چی عالی بود بسیار سالم و با بسته خوب رسید، واسه همه چی لپ تاب خوبیه و سرعت خیلی خوبی داره فقط برا بازی چون گرافیک نداره مناسب نیست. جواب همه چی غیر بازیو میده,5
باتوجه به قیمت ای که هست کارکرد ایده الی داره,4
خوبه تازه رسیده ,4
واقعا تو رنج قیمتی تا ۲۰ میلیون بهترین انتخابه,5
"بهترین لپ تاپ برای کارهای روزمره و اداری. نسل 13 و رم ddr5 با سرعت 4800 مگاهرتز.

عالیه",0
